T	1.00E+11	1.50E+11	1.80E+11	1.90E+11	2.00E+11	2.10E+11	2.20E+11	2.50E+11	3.00E+11
4.20E-01	9.68E-03	4.36E-03	9.68E-03	9.68E-03	9.68E-03	9.68E-03	9.68E-03	9.68E-03	9.68E-03
4.25E-01	1.02E-02	2.42E-03	1.02E-02	1.02E-02	1.02E-02	1.02E-02	1.02E-02	1.02E-02	1.02E-02
4.30E-01	1.04E-02	4.60E-04	1.04E-02	1.04E-02	1.04E-02	1.04E-02	1.04E-02	1.04E-02	1.04E-02
4.35E-01	1.00E-02	-1.54E-03	1.00E-02	1.00E-02	1.00E-02	1.00E-02	1.00E-02	1.00E-02	1.00E-02
4.40E-01	9.38E-03	-3.51E-03	9.38E-03	9.38E-03	9.38E-03	9.38E-03	9.38E-03	9.38E-03	9.38E-03
4.45E-01	8.37E-03	-5.30E-03	8.37E-03	8.37E-03	8.37E-03	8.37E-03	8.37E-03	8.37E-03	8.37E-03
4.50E-01	6.92E-03	-6.93E-03	6.92E-03	6.92E-03	6.92E-03	6.92E-03	6.92E-03	6.92E-03	6.92E-03
4.55E-01	5.31E-03	-8.28E-03	5.31E-03	5.31E-03	5.31E-03	5.31E-03	5.31E-03	5.31E-03	5.31E-03
4.60E-01	3.42E-03	-9.28E-03	3.42E-03	3.42E-03	3.42E-03	3.42E-03	3.42E-03	3.42E-03	3.42E-03
4.65E-01	1.37E-03	-9.90E-03	1.37E-03	1.37E-03	1.37E-03	1.37E-03	1.37E-03	1.37E-03	1.37E-03
4.70E-01	-6.40E-04	-1.01E-02	-6.40E-04	-6.40E-04	-6.40E-04	-6.40E-04	-6.40E-04	-6.40E-04	-6.40E-04
4.75E-01	-2.72E-03	-9.96E-03	-2.72E-03	-2.72E-03	-2.72E-03	-2.72E-03	-2.72E-03	-2.72E-03	-2.72E-03
4.80E-01	-4.64E-03	-9.37E-03	-4.64E-03	-4.64E-03	-4.64E-03	-4.64E-03	-4.64E-03	-4.64E-03	-4.64E-03
4.85E-01	-6.38E-03	-8.43E-03	-6.38E-03	-6.38E-03	-6.38E-03	-6.38E-03	-6.38E-03	-6.38E-03	-6.38E-03
4.90E-01	-7.88E-03	-7.15E-03	-7.88E-03	-7.88E-03	-7.88E-03	-7.88E-03	-7.88E-03	-7.88E-03	-7.88E-03
4.95E-01	-9.02E-03	-5.63E-03	-9.02E-03	-9.02E-03	-9.02E-03	-9.02E-03	-9.02E-03	-9.02E-03	-9.02E-03
5.00E-01	-9.89E-03	-3.84E-03	-9.89E-03	-9.89E-03	-9.89E-03	-9.89E-03	-9.89E-03	-9.89E-03	-9.89E-03
5.05E-01	-1.03E-02	-1.89E-03	-1.03E-02	-1.03E-02	-1.03E-02	-1.03E-02	-1.03E-02	-1.03E-02	-1.03E-02
5.10E-01	-1.03E-02	1.01E-04	-1.03E-02	-1.03E-02	-1.03E-02	-1.03E-02	-1.03E-02	-1.03E-02	-1.03E-02
